Memory Leak (bytes)
TestCase	Implementation	Optimization	ProblemSize	Compiler	definite loss	indirect loss	possible loss	reachable loss
MatrixMult	autogenerate_original	naive	15	gcc	29480	10824	0	3664
MatrixMult	autogenerate_original	naive	15	clang	31248	9024	0	3600
MatrixMult	autogenerate_original	naive	15	polly	31248	9024	0	3600
MatrixMult	autogenerate_original	naive_leakfree	15	gcc	29480	10824	0	3664
MatrixMult	autogenerate_original	naive_leakfree	15	clang	31248	9024	0	3600
MatrixMult	autogenerate_original	naive_leakfree	15	polly	31248	9024	0	3600
MatrixMult	autogenerate_original	copyreduced	15	gcc	9520	1824	0	3664
MatrixMult	autogenerate_original	copyreduced	15	clang	9584	24	0	5400
MatrixMult	autogenerate_original	copyreduced	15	polly	9584	5424	0	0
MatrixMult	autogenerate_original	copyreduced_leakfree	15	gcc	0	0	0	0
MatrixMult	autogenerate_original	copyreduced_leakfree	15	clang	0	0	0	0
MatrixMult	autogenerate_original	copyreduced_leakfree	15	polly	0	0	0	0
MatrixMult	autogenerate_transpose	naive	15	gcc	33080	10824	0	3664
MatrixMult	autogenerate_transpose	naive	15	clang	34848	9024	0	3600
MatrixMult	autogenerate_transpose	naive	15	polly	34848	9024	0	3600
MatrixMult	autogenerate_transpose	naive_leakfree	15	gcc	33080	10824	0	3664
MatrixMult	autogenerate_transpose	naive_leakfree	15	clang	34848	9024	0	3600
MatrixMult	autogenerate_transpose	naive_leakfree	15	polly	34848	9024	0	3600
MatrixMult	autogenerate_transpose	copyreduced	15	gcc	11320	1824	0	3664
MatrixMult	autogenerate_transpose	copyreduced	15	clang	11384	24	0	5400
MatrixMult	autogenerate_transpose	copyreduced	15	polly	11384	5424	0	0
MatrixMult	autogenerate_transpose	copyreduced_leakfree	15	gcc	0	0	0	0
MatrixMult	autogenerate_transpose	copyreduced_leakfree	15	clang	0	0	0	0
MatrixMult	autogenerate_transpose	copyreduced_leakfree	15	polly	0	0	0	0
GCD	autogenerate_original	naive	100	gcc	288	32	0	0
GCD	autogenerate_original	naive	100	clang	288	32	0	0
GCD	autogenerate_original	naive	100	polly	288	32	0	0
